class,has_feature_request,has_bug_report,has_user_exp,informative
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
PROBLEM DISCOVERY,0,1,0,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
OTHER,0,0,0,0
OTHER,0,0,0,0
OTHER,0,0,0,0
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
OTHER,0,0,0,0
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
FEATURE REQUEST,1,0,0,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION SEEKING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
OTHER,0,0,0,0
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
PROBLEM DISCOVERY,0,1,0,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
PROBLEM DISCOVERY,0,1,0,1
OTHER,0,0,0,0
OTHER,0,0,0,0
FEATURE REQUEST,1,0,0,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
PROBLEM DISCOVERY,0,1,0,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
PROBLEM DISCOVERY,0,1,0,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
My most used app I use Evernote for so many things,0,0,0,1
OTHER,0,0,0,0
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
OTHER,0,0,0,0
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
OTHER,0,0,0,0
INFORMATION GIVING,0,0,1,1
INFORMATION GIVING,0,0,1,1
