title.text,rating,has_information_giving,has_feature_request,has_bug_report,informative,wordCount,hasQuestionMark,hasExclamationMark,has_user_exp
"Almost perfect Besides the occasional crash, this is an amazing product with tons of potential depending on how you work with it!",5,0,0,1,1,22,0,1,0
"Take a photo of your boarding pass This could be a great app if it was predictable, but it is full of bugs and is unpredictable.  if you are able to check in, take a screen shot of your boarding pass or print a backup copy, because you may not be able to access it when you need it most.",1,0,0,1,1,61,0,0,0
Won't open due to pop-ups since upgrade I can't open since the last 2 updates Pop-ups go crazy on the iPhone 5! I'm uninstalling,1,0,0,1,1,24,0,1,0
Not Working After Update Use to love this app but it's not working after new update. Pages won't scroll up or down...none of the different tabs work...it's frozen! Please fix ASAP!!!,1,0,0,1,1,31,0,1,0
"NA Urrrrm	After my third re installing, it finally has scenery. Before hand, it was just black shapes everywhere. I could not even see the walls. This killed my internet as it is a very big game that takes half an hour to install - if you don't like the game, their is no chance of a refund. Once I finally got the proper game, it is very pretty with smooth graphics, an amazing sound track, and some of the best scenery I've ever seen on my tablet. In the next update, I want to be seeing the right installment first time, a chance of a refund, and free roam! Free roam was the best part of the old games, I would love to have it on my tablet! Thank you ?",3,0,0,1,1,131,1,1,0
Needs work This app serves its purpose for me perfectly except for the mobile deposit won't work. It keeps saying can't find endorsement. After calling PNC multiple times about this still no fix.,1,0,0,1,1,33,0,0,0
"NA Album function needs improvement	Current version opens up all possible folders which includ cache files which should be selectable from settings to avoid unnecessary browsing resulting low productivity.
",2,0,0,1,1,28,0,0,0
Excel files don't open with update! I'm very disappointed that I can't open most excel files anymore! Repeated tries works occasionally but it should work every time!,3,0,0,1,1,27,0,1,0
"NA NEEDS TO BE UPDATED.	Was Fun & Challenging. Desperately in need of an update. Paid for the Allie levels SEPTEMBER 1 and still no new levels- when is ""soon""?? No new levels of the week. No updates. Used to be a favorite...",1,0,0,1,1,42,1,0,0
It's good to look at stuff It's good if you want to browse but is horrible at letting me post anything. It stays frozen on signing in and I have to close the app.,3,0,0,1,1,34,0,0,0
"Crashes Crash
Crash
Crash
Crash
Crash
Get it!!!!!",2,0,0,1,1,3,0,1,0
" Was great	It was great until apparently it updated on the 27th and now every time I try to use it I get a message the it has stopped working and it force closes! Please fix!",3,0,0,1,1,36,0,1,0
"Yup It's ugly The white app icon is so atrocious, I'm hiding it away in a new folder that I'm naming 'Ugly Apps' It will be joined by Photos and iBooks Some other Apple bloat-ware apps, like Game Center, Newsstand, and Passbook could go in too, but they'll just stay in my 'Crap!' folder instead",1,0,0,1,1,55,0,1,0
NA Would like it to have more edit items..,3,0,0,1,1,9,0,0,0
"?? VERY BAD!?? This use to be a great app on iOS 5 Having iOS 7 and the latest version of 

Dropbox and it's really bad The new UI for viewing photos and video needs improvement to return to the way it was",1,0,0,1,1,43,1,1,0
"Started out great The app was awesome until the latest update  I lost a weeks worth of class notes, can't even open the program without it crashing unless I'm connected to wifi, and a complete notebook just disappeared after the password reset  Everything was great before the update, now nothing works",1,0,0,1,1,53,0,0,0
Crash After the last update it crashes Please fix!,1,0,0,1,1,9,0,1,0
"PDF Problems I liked very much the upgrade to pdfs (divisions and search) However, they aren't displaying anymore Fix it and it will be perfect
Best wishes",3,0,0,1,1,26,0,0,0
problem Can't update your latest bug fix,3,0,0,1,1,7,0,0,0
It won't let me sing with other people It says error to collect calls and it won't let me up date anything it needs to be fixed,2,0,0,1,1,27,0,0,0
"NA ok seriously	this app would be great if the timing adjustments weren't so erratic. i've made the same exact video a million times and it keeps coming out with an extra 2 seconds here or a bit shorter there throwing off the entire video/audio sync",3,0,0,1,1,45,0,0,0
Dropbox update The update has been installing for a week,1,0,0,1,1,10,0,0,0
Hats I love the app but it's annoying cause when I use the premade hats they come half out with the middle half of the hat gone so I can't make what I want easily.,5,0,0,1,1,35,0,0,0
" Effect	Please fix some of your effect such as fattal because its become a different quality of picture when I want to save it Which means what I edit its not the same picture that I save Overall good Just on that part only",4,0,0,1,1,44,0,0,0
Meh It's really slow and it always glitches up when I try to delete a stauts or somthing and I can't figure out how to delete pics or make new albums no me gusta,1,0,0,1,1,34,0,0,0
Problems Can't use due to pop-up about push notifications Open iTunes and connect for notifications HATE IT!,1,0,0,1,1,17,0,1,0
"Waste of time Won't open. Keeps timing out.
Don't waste your time till they fix the issues.",1,0,0,1,1,16,0,0,0
"Still CAN'T UPLOAD VIDEOS!!! COME ON DROPBOX!!!! This is getting ridiculous! I've uninstalled and reinstalled and it's still stuck!
Your customer service said this update would fix it!",1,0,0,1,1,27,0,1,0
Just doesn't work So frustrated. Not responsive or sluggish. Cannot modify the city from which I want to rent. I give up.,1,0,0,1,1,22,0,0,0
Buggy Bookmarks do not work. Bookmark your favorite dispensary and it takes you to some other random place. The overall performance is buggy and crashes.,2,0,0,1,1,25,0,0,0
Upgrade causing crashing! Recent upgrade is causing the app to crash on iPad Needs fixed I have tried to delete and reinstall but that didn't fix the problem,1,0,0,1,1,28,0,1,0
"5? information, 1? app I like Trip Advisor, but their app is slow and feels buggy
If you have the patience to navigate through its, um, 'quirks,' then you can get to their good info",3,0,0,1,1,34,1,0,0
" Search doesn't work anymore	After the update, the search function doesn't work It keeps putting 20's within the search so nothing comes up Please fix, otherwise the app is useless if I can't search for anything",1,0,0,1,1,36,0,0,0
NA Plz more backgrounds and frame,4,0,0,1,1,6,0,0,0
iPhone 5s -( Really? )- Did not work on my new iPhone 5s Only showed sliding logo's,1,0,0,1,1,17,1,0,0
"Minor glitches Pretty good but glitches Wanted to use flight filters, but it wasn't applying them Had to start search over Haven't used it much yet",4,0,0,1,1,26,0,0,0
NA You need to improve the hebrew editing..,3,0,0,1,1,8,0,0,0
What happened?? This app used to work so well...now it never works. Please fix. It keeps sending me warning messages.,3,0,0,1,1,20,1,0,0
"Yeah it's cool,but.... It seems like a cool app from what I have been able to see. It crashes everytime I get it open. The free app got me hooked which never crashed. Get this fixed please and I will resubmit a review.",2,0,0,1,1,43,0,0,0
So sad! ( I did the update and they made me change my password I logged in with my new password and ALL of my files are missing! And then I logged into my account through the website and no notes are there either This is great since midterms are next week and all of my notes are gone '(,1,0,0,1,1,60,0,1,0
" Needs Update!	It still needs updates! Its a bit slow! I hope whatsapp fixes this problem! I know they are too busy but they have to take out time for us!",4,0,0,1,1,31,0,1,0
Great new look  But Keep up the good work but camera upload has stopped working for me No matter what I change no photos or videos will load,4,0,0,1,1,29,0,0,0
Good luck with mobile deposit It is useful to check balance and do transfers but mobile deposit simply doesn't work it refuses to see my signature. I called support and their suggestions were set camera to highest quality and delete and reinstall app neither of which were any help. So now I am stuck mailing the 'For mobile deposit only' check to them hoping that  PNC bank by mail works a lot better than this app!,1,0,0,1,1,77,0,1,0
Crashes all the time I may give it a way better review when they fix it but EXPECT it to crash ll the time...about every 3-4 filters I downloaded & it then crashed. Frustrating. Once it FROZE and I had to delete & re-install. :-(,1,0,0,1,1,45,0,0,0
" Worst	Atleast reply and help   Worst since four days trying to register everytime they cut balnce for verification them send voice verification nd then fails that also  crap  negative star",1,0,0,1,1,34,0,0,0
Crashes This latest update did nothing to stop crashes Completely unusable,1,0,0,1,1,11,0,0,0
