future_tense,past_tense,present_tense
0.0,0.0,1.0
0.13333333333333333,0.06666666666666667,0.8
0.2857142857142857,0.0,0.7142857142857143
0.1,0.0,0.9
0.07407407407407407,0.18518518518518517,0.7407407407407407
0.2222222222222222,0.0,0.7777777777777778
0.125,0.0,0.875
0.2,0.0,0.8
0.0,0.42857142857142855,0.5714285714285714
0.0,0.08333333333333333,0.9166666666666666
0.0,0.0,0.0
0.0,0.36363636363636365,0.6363636363636364
0.21428571428571427,0.07142857142857142,0.7142857142857143
0.3333333333333333,0.0,0.6666666666666666
0.0,0.0,1.0
0.07692307692307693,0.46153846153846156,0.46153846153846156
0.0,0.0,1.0
0.16666666666666666,0.16666666666666666,0.6666666666666666
0.5,0.0,0.5
0.2,0.1,0.7
0.125,0.25,0.625
0.0,0.2,0.8
0.125,0.125,0.75
0.0,0.14285714285714285,0.8571428571428571
0.125,0.0,0.875
0.2,0.0,0.8
0.25,0.0,0.75
0.0,0.3333333333333333,0.6666666666666666
0.14285714285714285,0.0,0.8571428571428571
0.0,0.0,1.0
0.0,0.23076923076923078,0.7692307692307693
0.0,0.0,1.0
0.07692307692307693,0.0,0.9230769230769231
0.0,0.0,0.0
0.0,0.5,0.5
0.0,0.5,0.5
0.0,0.0,1.0
0.0,0.25,0.75
0.07142857142857142,0.2857142857142857,0.6428571428571429
0.0,0.38461538461538464,0.6153846153846154
0.0,0.0,1.0
0.14285714285714285,0.14285714285714285,0.7142857142857143
0.0,0.2631578947368421,0.7368421052631579
0.08333333333333333,0.3333333333333333,0.5833333333333334
0.0,0.2,0.8
0.0,0.3333333333333333,0.6666666666666666
0.08333333333333333,0.16666666666666666,0.75
0.0,0.3333333333333333,0.6666666666666666
0.0,0.625,0.375
0.15384615384615385,0.15384615384615385,0.6923076923076923
0.0,0.0,1.0
0.0,0.0,1.0
0.25,0.0,0.75
0.0,0.3333333333333333,0.6666666666666666
0.0,0.15384615384615385,0.8461538461538461
0.2,0.0,0.8
0.25,0.0,0.75
0.0,0.4,0.6
0.0,0.3333333333333333,0.6666666666666666
0.05263157894736842,0.05263157894736842,0.8947368421052632
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.5,0.5
0.0,0.0,1.0
0.1111111111111111,0.0,0.8888888888888888
0.0,0.0,1.0
0.0,0.25,0.75
0.2,0.4,0.4
0.0,0.3076923076923077,0.6923076923076923
0.2,0.0,0.8
0.25,0.0,0.75
0.0,0.2727272727272727,0.7272727272727273
0.125,0.375,0.5
0.0,0.2,0.8
0.0,0.45454545454545453,0.5454545454545454
0.14285714285714285,0.0,0.8571428571428571
0.2,0.0,0.8
0.125,0.125,0.75
0.25,0.0,0.75
0.14285714285714285,0.0,0.8571428571428571
0.0,0.16666666666666666,0.8333333333333334
0.125,0.0,0.875
0.0,0.25,0.75
0.0,0.2222222222222222,0.7777777777777778
0.16666666666666666,0.16666666666666666,0.6666666666666666
0.1111111111111111,0.3333333333333333,0.5555555555555556
0.5,0.0,0.5
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.16666666666666666,0.8333333333333334
0.08,0.28,0.64
0.16666666666666666,0.0,0.8333333333333334
0.25,0.0,0.75
0.16666666666666666,0.08333333333333333,0.75
0.0,0.4,0.6
0.0,0.3076923076923077,0.6923076923076923
0.15789473684210525,0.21052631578947367,0.631578947368421
0.0,0.05,0.95
0.0,0.16666666666666666,0.8333333333333334
0.0,0.0,1.0
0.0,0.25,0.75
0.0,0.0,1.0
