"title.text","rating","sentiment_score","has_information_giving","has_information_seeking","has_feature_request","has_bug_report","informative","wordCount","hasQuestionMark","hasExclamationMark","app_name","has_user_exp","informative_withseeking"
"a joke it is a few hours but man is not released until today.",1,2,0,0,0,0,0,14,0,0,"BLINQ",0,0
"Login Facebook Login? Nope. App immediately deleted.",1,2,1,0,0,0,1,7,1,0,"BLINQ",1,1
"deleted immediately.  Uses Facebook",1,2,1,0,0,0,1,5,0,0,"BLINQ",1,1
"Well .. wait for two weeks on. Unfortunately still no access to the app. Ideas cool, but takes far too long. Too bad. Wait the weekend even from , otherwise it is deleted again !!!!!!!!! ",2,2,1,0,0,0,1,35,0,1,"BLINQ",1,1
"OK fun app, but too many inactive users",4,1,1,0,0,0,1,8,0,0,"BLINQ",1,1
"Ipad though says that it is also compatible with the iPad, but not true! The logo is not displayed correctly and when you open the app is the representation, as if you open an iPhone app on the iPad ... If possible update, then there are more stars. PS. Another point is the recording process: You have to login to FB, but nevertheless its several days before it will be accepted as a member ??? For me, completely incomprehensible !!!",3,2,1,0,1,1,1,80,1,1,"BLINQ",1,1
"Ipad though says that it is also compatible with the iPad, but not true! The logo is not displayed correctly and when you open the app is the representation, as if you open an iPhone app on the iPad ...If possible update, then there are more stars",3,2,0,0,0,1,1,47,0,1,"BLINQ",0,1
"wait how long do I have to wait?",2,2,0,1,0,0,0,8,1,0,"BLINQ",0,1
"Absolutely terrible Worst app Ive ever downloaded, waste of time, do not even bother, They Do not even review your profile so I have not even tried it",1,2,0,0,0,0,0,28,0,0,"BLINQ",0,0
"Facebook and without Facebook can Blinq not use or how ??? There must also be an alternative logon options! Are there any other everywhere",1,2,1,0,1,0,1,24,1,1,"BLINQ",1,1
"App hangs after reboot, crash, app Reload my app hangs when starting up easy. Unglaulich annoying! worst: support address is wrong and you end up in nirvana . ",1,2,0,0,0,1,1,28,0,1,"BLINQ",0,1
"When we go? Im already about 2 weeks in status profile is checked ... high  App works accordingly not at all. ",1,2,1,0,0,0,1,22,1,0,"BLINQ",1,1
"wonderful dating! Like it very much!",5,1,0,0,0,0,0,6,0,1,"BLINQ",0,0
"Not good waiting Meanwhile more than a week and nothing has happened.",1,2,1,0,0,0,1,12,0,0,"BLINQ",1,1
"Well So Im still waiting for the recording since 7 days !!",1,2,1,0,0,0,1,12,0,1,"BLINQ",1,1
"Blinq Okay",4,1,0,0,0,0,0,2,0,0,"BLINQ",0,0
"too many inactive users No one writes back",1,2,1,0,0,0,1,8,0,0,"BLINQ",1,1
"Requires Facebook Requires Facebook; deleted immediately. Requires Facebook; immediately deleted.",1,2,1,0,0,0,1,10,0,0,"BLINQ",1,1
"junk Dont bother! U need a Facebook login and only god knows how many friends!",1,2,1,0,0,0,1,15,0,1,"BLINQ",1,1
"inactive user There are too many users are indeed inactive. Should defenitely do something about that. ",3,2,1,0,0,0,1,16,0,0,"BLINQ",1,1
"goes too long How long does it take until it is picked up?",2,2,0,1,0,0,0,13,1,0,"BLINQ",0,1
"I do not recommend That with the entrance exam ... If you register recording chance was high. After recommendation to FB friends dropped to low. One should so do not recommend this app better next to the creators:... thats kid stuff, if you eventually want to sales, then you have to pursue a different strategy",2,2,1,0,0,0,1,55,0,0,"BLINQ",1,1
".... unfortunately only possible with Facebook! Too Bad. Ums times finely express them  Once again ....",1,2,1,0,0,0,1,17,0,1,"BLINQ",1,1
"WTF with the password?! Bad app, seriously !!  Password problem",1,2,0,1,0,0,0,11,1,1,"BLINQ",0,1
"Keep it up! Good job ! :-)",5,1,0,0,0,0,0,7,0,1,"BLINQ",0,0
"The app is not usable. Eternal waiting to release !!! Im still waiting !!! And Im still waiting !!!  Useless",1,2,1,0,0,0,1,21,0,1,"BLINQ",1,1
"great app Great app with beautiful design! Had to wait a little longer though to be adopted, (2 weeks) (the need to have read the current user you evaluate first) which is certainly very attractive users arise pool lÃ¤sst..es was well worth it.",5,1,0,0,0,0,0,43,0,1,"BLINQ",0,0
"The app is not usable. Eternal waiting to release !!! Im still waiting !!!  Useless",1,2,1,0,0,0,1,16,0,1,"BLINQ",1,1
"Do not go Because I refuse the Facebook hype and an account with no friends did, I can not use the app. So much for privacy ..... Then halt without me!",1,2,1,0,0,0,1,31,0,1,"BLINQ",1,1
"unfortunately unfortunately Application possible only with a Facebook profile! This I did not want and do not have too.",1,2,1,0,0,0,1,19,0,1,"BLINQ",1,1
"The app is not usable. Eternal waiting to be released !!!  Useless",1,2,1,0,0,0,1,13,0,1,"BLINQ",1,1
"Facebook and many data are required There is no way Einzulogen without all admit award. I am not in possession of a Facebook account, so I had an extra create but now I can not get access because I have too few contacts fb !!!! ????? Hi !!! What is the sch ...?",1,2,1,0,0,0,1,53,1,1,"BLINQ",1,1
"top Super App",5,1,0,0,0,0,0,3,0,0,"BLINQ",0,0
"Sell your friends for a hi  The greed of this developer in order to collect personal data is big. His apps are all about Entering Facebook data. The privacy policy does not show and That should tell you, how trust worthy the developer may be. ",1,2,1,0,0,0,1,46,0,0,"BLINQ",1,1
"simple and good if only every app would be so simple:) Possibly. a function to install the latest his or Byes irreversible. Can happen that you caught the wrong button !!! Otherwise TOP",5,1,0,0,1,0,1,33,0,1,"BLINQ",0,1
